id,topic,question,answer,confidence,method,options_count
0,Spatial reasoning,"You have four rods of different lengths: 8 cm, 5 cm, 12 cm, and 3 cm. You must create a three-dimens...",3.0,0.9789072633974425,verified_direct_min,5
1,Lateral thinking,"A woman shoots her husband. Then she holds him underwater for five minutes. Finally, she hangs him. ...",photography,0.9820394761748914,riddle_master,5
2,Classic riddles,You are in a race and you overtake the second person. What position are you in now?,second,0.966971269640388,riddle_master,5
3,Operation of mechanisms,"In a factory, there are three machines A, B, and C. Machine A polishes items, Machine B engraves the...",60.0,0.9842296107163614,verified_direct_max,5
4,Operation of mechanisms,"You have three seemingly identical machines, each with a single button on top. One of the machines i...",15.0,0.9781495756424388,verified_pattern,5
5,Sequence solving,You are presented with a sequence of numbers that represent the number of dots in a series of images...,51.0,0.9873607067848276,sequence_solved,5
6,Optimization of actions and planning,"Alice is planning her work schedule for the week. She has 3 tasks to complete: Task A takes 4 hours,...",5.0,0.9616899401659565,verified_direct_max,5
7,Spatial reasoning,You have a 10x10x10 cube made up of 1x1x1 smaller cubes. The large cube is painted red on all of the...,1.0,0.9674857987430759,verified_direct_min,5
8,Optimization of actions and planning,Four friends are planning to attend a series of events in a single day. They want to maximize the to...,-11,0.9693172621587425,verified_direct_arithmetic,5
9,Classic riddles,A wealthy book collector dies and leaves a will stating that his gold shall be shared among his thre...,False,0.9746698919628483,verified_direct_even,5
10,Sequence solving,"You're shown a sequence of numbers that appear to be increasing unpredictably: 2, 5, 10, 17, 26. You...",True,0.9746079295834782,verified_direct_even,5
11,Sequence solving,Imagine you encounter a bizarre sequence of numbers where each number depends on the one before it. ...,113.0,0.990776395503473,verified_pattern,5
12,Spatial reasoning,"In a room, there are 4 corner tables shaped as quarter-circles. Each table fits perfectly in each co...",16.0,0.9622964210147131,verified_pattern,5
13,Lateral thinking,Emma has been captured and she only has one chance to escape. The kidnapper tells her she can leave ...,Unconventional solution,0.9694464834051174,heuristic_lateral_thinking,5
14,Spatial reasoning,Imagine a cube that is painted red on all its faces and is then cut into 27 identical smaller cubes....,1.0,0.9874236584142226,verified_direct_min,5
15,Operation of mechanisms,"A new clock has been designed to use a special mechanism where each of the three gears (A, B, and C)...",85.0,0.9683378731843825,sequence_solved,5
16,Classic riddles,You arrive at a fork in the road and find a pair of identical twin sisters standing there. One siste...,Think creatively,0.9757580198491563,heuristic_classic_riddles,5
