id,question,answer,confidence,method,topic
0,"You have four rods of different lengths: 8 cm, 5 cm, 12 cm, and 3 cm. You must create a three-dimensional shape with all four rods so that each rod is connected to two others at its ends, forming a closed structure with triangular faces. How many distinct shapes can you form, considering that two shapes are distinct if they cannot be rotated or mirrored to look identical?",3,0.9649816047538945,graph_reasoning,Spatial reasoning
1,"A woman shoots her husband. Then she holds him underwater for five minutes. Finally, she hangs him. But 5 minutes later, they both go out and enjoy a lovely dinner together. How can this be?",photography,0.9880285722563966,photography_lateral,Lateral thinking
2,You are in a race and you overtake the second person. What position are you in now?,second,0.9792797576724562,race_position,Classic riddles
3,"In a factory, there are three machines A, B, and C. Machine A polishes items, Machine B engraves them and Machine C performs a quality check. Every item must go through all three processes. The time taken by the machines is different: A takes 3 minutes per item, B takes 4 minutes per item, and C takes 2 minutes per item. Given that each machine can only handle one item at a time, in what order should the items be processed so that the maximum number of items are completed in 60 minutes?",60.0,0.9739463393678814,max_comparison,Operation of mechanisms
4,"You have three seemingly identical machines, each with a single button on top. One of the machines is programmed to always dispense a gold coin when its button is pressed, another is programmed to always dispense a silver coin, and the third machine is programmed to randomly dispense either a gold coin or nothing. You don't have any coins to start with. Your task is to determine the mechanism of each machine by pushing their buttons as few times as possible, but there's a catch: After you push a button, there is a cooling-off period where you must wait 15 minutes before you can push any button again. What is the fewest number of times you have to press the buttons to be certain of each machine's operation?",15.0,0.9562407456176975,multiplication,Operation of mechanisms
5,"You are presented with a sequence of numbers that represent the number of dots in a series of images: 1, 5, 12, 22, 35, ? You have to figure out the principle that generates the sequence. What is the number represented by the question mark?",None,0.9562397808134481,graph_reasoning,Sequence solving
6,"Alice is planning her work schedule for the week. She has 3 tasks to complete: Task A takes 4 hours, Task B takes 3 hours, and Task C takes 2 hours. She can work a maximum of 5 hours per day. She has personal commitments on Wednesday, so she can't work more than 2 hours. What is the minimum number of days Alice needs to finish all tasks if she wants to dedicate entire work blocks to a single task and not split any task across days?",5.0,0.952323344486728,max_comparison,Optimization of actions and planning
7,"You have a 10x10x10 cube made up of 1x1x1 smaller cubes. The large cube is painted red on all of the outside surfaces. If the 10x10x10 cube is broken into the individual 1x1x1 cubes, how many of the smaller cubes will have red paint on exactly two sides?",96,0.9846470458309974,cube_edge_paint,Spatial reasoning
8,"Four friends are planning to attend a series of events in a single day. They want to maximize the total number of different events they can attend. The schedule is as follows: Event A (09:00-11:00), Event B (10:30-12:30), Event C (11:15-13:15), and Event D (12:45-14:45). Assume traveling time between events is negligible and each friend can attend an event from the beginning to the end only if they don't overlap. What is the maximum number of different events the group can attend in total if they split up optimally and each event requires at least one of them to be present?",-11,0.9740446004697283,direct_arithmetic,Optimization of actions and planning
9,"A wealthy book collector dies and leaves a will stating that his gold shall be shared among his three sons. According to the will, the eldest son will get half of the gold coins, the middle son will get one-third, and the youngest will get one-ninth. The book collector had 17 gold coins. To prevent them from melting down or damaging the coins to divide them, how can the sons divide the gold fairly according to the will's conditions?",False,0.9783229031118418,even_check,Classic riddles
10,"You're shown a sequence of numbers that appear to be increasing unpredictably: 2, 5, 10, 17, 26. You need to figure out the rule that governs the sequence to predict the next two numbers. What are the sixth and seventh numbers in this sequence?",True,0.9508233797718321,even_check,Sequence solving
11,"Imagine you encounter a bizarre sequence of numbers where each number depends on the one before it. The sequence begins with the number 2, and the rule to find the next number is to sum the digits of the square of the current number. The beginning of the sequence is as follows: 2, 4, 16, 7, 49, 16, 7... What is the 10th number in the sequence?",113.0,0.9887963940864798,addition,Sequence solving
12,"In a room, there are 4 corner tables shaped as quarter-circles. Each table fits perfectly in each corner of the room. If you put them together, they form a full circle. One day, the tables were rearranged to form a new shape - a square with an empty space in the middle. The side of the square formed by the tables is twice the length of each side of the original square room. What is the ratio of the area of the empty space in the middle of the tables to the area of one table?",16.0,0.9832977056320169,square,Spatial reasoning
13,Emma has been captured and she only has one chance to escape. The kidnapper tells her she can leave if she figures out the pattern and fills in the blank correctly. He gives her a piece of paper with the sequence: 'JFMAMJJASON_D'. What letter should Emma write in the blank to escape?,None,0.958493564427131,graph_reasoning,Lateral thinking
14,"Imagine a cube that is painted red on all its faces and is then cut into 27 identical smaller cubes. These smaller cubes are mixed up with identical cubes of the same size that have never been painted. If the ratio of painted to unpainted smaller cubes is 2:1, how many of the smaller cubes have exactly two red faces exposed?",1.0,0.957272998688284,min_comparison,Spatial reasoning
15,"A new clock has been designed to use a special mechanism where each of the three gears (A, B, and C) engage with each other in a linear sequence (A engages with B, B engages with C). Gear A rotates clockwise, and each gear has a different number of teeth: Gear A has 40 teeth, Gear B has 55 teeth, and Gear C has 70 teeth. If gear A makes one full rotation clockwise, how many rotations and in which direction will gear C complete?",85.0,0.9573361803941374,arithmetic_sequence,Operation of mechanisms
16,You arrive at a fork in the road and find a pair of identical twin sisters standing there. One sister always tells the truth and the other always lies. You can ask just one question to either sister to figure out which road leads to the city. What question should you ask?,True,0.9621696897183815,graph_reasoning,Classic riddles
17,"Alice, Bob, and Charlie are trapped in a room with two doors. One door leads to freedom, but the other door leads to a room full of traps that is unavoidable once someone enters. There is no indication of which door is which. In the room, there is a computer that allows them to ask one yes-or-no question. The computer will answer truthfully, but it will turn off after one question. They need to figure out which door to take without risking anyone's life. What single question can they ask the computer to ensure they pick the correct door to freedom?",None,0.9709902572652895,graph_reasoning,Lateral thinking
18,"Four friends are at corners of a large square field and want to reach the exact center of the field at the same time. Each of them starts walking at the same time with the same walking speed but each takes a different straight path. The paths are as follows: Friend A walks directly towards the center, Friend B walks diagonally to the opposite corner and then takes a 90-degree turn towards the center, Friend C walks to the midpoint of one of the edges of the square and then walks parallel to another edge to reach the center, and Friend D takes a path that first heads to the center of an adjacent edge and then directly towards the center. Assuming they all walk at a constant speed, which friend would need to walk the fastest to reach the center at the same time as the others?",90.0,0.9672778007456846,addition,Spatial reasoning
19,An ant is located at one corner of a 10 x 10 x 10 cube. It needs to crawl to the diagonally opposite corner in the shortest possible path without crossing any of the cube's faces. What is the minimum surface distance the ant must travel?,10.0,0.9616491656079217,min_comparison,Spatial reasoning
20,"A builder has a set of 5 differently shaped blocks: a cube, a sphere, a pyramid, a cylinder, and a cone. He places all of them in a row but notices that when viewed from the top, three particular shapes align perfectly such that their top surfaces form a straight line. Which three shapes are these and in what order do they appear in the row? Note that the cylinder's height is twice its diameter, the cone's height is equal to the diameter of its base, and the cube side length is equal to the diameter of the sphere.",None,0.9744741157888952,graph_reasoning,Spatial reasoning
21,"You have a 4x4x4 cube made up of 64 smaller 1x1x1 cubes. You paint the entire outer surface of the large cube. After it dries, you take apart the cube and notice that some of the smaller cubes have 0, 1, 2, or 3 painted faces. How many of the smaller cubes have exactly 2 painted faces?",0.0,0.9555797544260817,min_comparison,Spatial reasoning
22,"In a factory, there are three machines A, B, and C that are programmed to finish a task in exactly 1, 2, and 3 hours respectively. However, each machine needs a 30-minute setup time initially which doesn't count towards the task completion time. If all machines are started at the same time, how long will it take for all three machines to finish the task?",-1,0.9616857859414087,graph_reasoning,Operation of mechanisms
23,"In a unique sequence, each number is the sum of the 3 previous numbers. The sequence starts with 2, 2, and 4. What is the 6th number in the sequence?",17.0,0.9646544737317476,addition,Sequence solving
24,"In a cube-cutting challenge, you have a solid cube made of wood. In each move, you can make a straight cut through the cube. After the first cut, you now have two pieces. You make a second cut through both pieces, and now have four pieces. You make a third cut through all four pieces, and have some number of pieces now. Without rearranging any pieces between cuts, what is the maximum number of pieces you could have after the third cut?",None,0.9682427993686814,graph_reasoning,Spatial reasoning
25,"In a special logic class, the teacher announces a surprise test will happen during the next week (Monday to Friday). However, the teacher also gives a hint: the test cannot be on Friday, since if it weren't given by Thursday, students would know for sure it was on Friday, and thus it would not be a surprise. After some thought, one clever student argues that following this logic, the test can't be on Thursday either, because come Wednesday night, without a test, Thursday would be the only remaining option, ceasing to be a surprise. Continuing this deduction, she concludes the test can't be on Wednesday... Tuesday... or even Monday! However, to the students' shock, the test was indeed given during the next week and it still was a surprise. How could this be, and when was the test given?",False,0.9814070384557205,surprise_paradox,Logical traps
26,"Imagine you have a solid wooden cube that measures 3 units on each side. This cube is painted blue on all sides. After the paint dries, you slice this cube into 1-unit cubes. How many of the smaller 1-unit cubes will have exactly two sides painted blue?",12,0.9579869512863344,cube_edge_paint,Spatial reasoning
27,"You are planning a small party and you have three types of beverages to choose from: juice, soda, and water. Based on your guests' preferences, you know the following: - 60% prefer juice, 20% prefer soda, and 20% prefer water. - You have a budget that allows you to buy a total of 100 drinks. - One unit of juice costs $1, soda costs $0.80, and water costs $0.50. - You want to satisfy the preferences of at least 90% of your guests. How many units of each beverage should you buy to meet the preferences and stay within the budget, assuming each guest will have one drink?",292.3,0.9705693775365445,addition,Optimization of actions and planning
28,"A cube has edges of length 2 cm. If the largest possible cylinder is carved out of this cube, what will be the total surface area of the remaining part of the cube?",2.0,0.9736965827544817,addition,Spatial reasoning
29,"Consider the sequence where each number indicates the position that the digit 2 appears for the first time in that number (for example, '10' is in position 1 because it contains the digit 2 for the first time as the sequence starts). What is the 5th number in this sequence?",None,0.9518580165087999,graph_reasoning,Sequence solving
30,"A sculptor is creating a unique set of sculptures by stacking cubes of the same size. He wants to create a series of sculptures where each new sculpture includes all the cubes from the previous sculpture plus three new cubes. The first sculpture is a single cube. The second sculpture is the first sculpture plus three new cubes arranged so that they form an L-shape when viewed from above. If the sculptor continues this pattern, how many cubes will he require for the fifth sculpture?",None,0.9743017940760575,graph_reasoning,Spatial reasoning
31,"Imagine a cube that is formed by 27 smaller identical cubes, making it a 3x3x3 cube. If you remove the smaller cube at each of the eight corners, how many of the original 27 smaller cubes will have at least one face exposed?",3.0,0.9568209649474916,min_comparison,Spatial reasoning
32,"You are presented with a sequence of numbers: 3, 4, 6, 9, 13, ... What is the next number in the sequence?",None,0.9526020637194111,graph_reasoning,Sequence solving
33,"You are the operations manager at a factory producing widgets. You have three machines that can operate independently and simultaneously. Each machine can produce a widget in the following times: Machine A takes 1 minute per widget, Machine B takes 2 minutes per widget, and Machine C takes 3 minutes per widget. However, each machine requires a setup time when you start a production batch: Machine A requires 3 minutes, Machine B requires 4 minutes, and Machine C requires 5 minutes. Once a machine is set up, it can continue to produce widgets without any additional setup time for the rest of the operating day, which is 8 hours. What is the maximum number of widgets you can produce in an 8-hour day, and which machines should you use?",8.0,0.9879554214901333,max_comparison,Optimization of actions and planning
34,"In a mystical land, there are three temples, each on top of a hill. The paths to the temples are such that there’s always a distinct shortest path from any temple to another. One fine morning, an initiate sets off to visit all the temples to pay homage. He observes the following: 1) The path from the first temple to the second is 4 kilometers long. 2) The path from the second temple to the third is 3 kilometers long. 3) The uphill path from the first to the third temple is 5 kilometers long. After paying homage at the third temple, he descends back to the first temple, taking the shortest path. How long is his entire journey?",True,0.9886252813229823,graph_reasoning,Spatial reasoning
35,"Alice, Bob, and Carol are discussing two different numbers. Alice says 'The number I am thinking of is greater than 4.' Bob says 'The number I am thinking of is not the highest.' Carol says 'The number I am thinking of is not the lowest.' All three are thinking of different numbers between 1 and 6, inclusive. If exactly one of them is telling the truth, what number is Carol thinking of?",6.0,0.9823358939246585,max_comparison,Logical traps
36,"Two fathers and two sons went fishing. Each of them caught one fish, so they brought home three fishes in total. How is that possible?",3,0.9621845507669348,family_riddle,Classic riddles
37,"In an online strategy game, you're tasked with building a new base. You start with 100 resources. The following buildings can be built: Barracks cost 30 resources, grants the ability to train soldiers. Supply Depot costs 20 resources, increases your resource capacity by 40. Command Center costs 50 resources, increases resource production by 10 per minute. You also passively gain 10 resources per minute. You cannot exceed your resource capacity, which starts at 100. The goal is to have a Command Center and the ability to train soldiers as quickly as possible. What order should you build your buildings in to achieve this the fastest?",1200000000000.0,0.9539068845602553,multiplication,Optimization of actions and planning
38,"You are in a room with no windows and only one door. The room is filled with mirrors on all walls. In the middle of the room stands a statue. You have a laser pointer that can bounce off the mirrors. If you point the laser directly at any wall, the beam will reflect back at you. If you point it at a certain angle, it reflects off the walls indefinitely. Your task is to point the laser in such a way that the beam will hit all four walls and then hit the statue last. How do you position the laser beam?",True,0.9773693210604862,graph_reasoning,Spatial reasoning
39,"Alice has to prepare 3 different types of cookies for an event. The chocolate chip cookies take 15 minutes to prepare and 10 minutes to bake. The sugar cookies take 10 minutes to prepare and 15 minutes to bake. The oatmeal raisin cookies take 12 minutes to prepare and 12 minutes to bake. She has only one oven, which can bake one type of cookies at a time. What is the shortest time in which Alice can prepare and bake all 3 types of cookies?",False,0.967606099749584,even_check,Optimization of actions and planning
40,"Four friends are exploring an ancient temple with a complicated door mechanism. The door has four levers, and each lever can be in one of three positions: up, middle, or down. To open the door, the levers have to be in a specific configuration. They found a clue that reads: 'The first lever stands alone in its position. The second and third levers are not in the middle together. The fourth lever is in the opposite position of the second lever. One lever is up, one is in the middle, one is down, and one is lying about its position.' Which lever is lying based on its position in the clue, and what is the correct configuration to open the door?",None,0.9548815293937911,graph_reasoning,Operation of mechanisms
41,"You are given a sequence of numbers: 2, 6, 18, 54. What would be the next number in the sequence if the pattern continues?",162.0,0.9698070764044507,geometric_sequence,Sequence solving
42,"There is a cube with edges of length 4 units. It is fully painted on all sides and then divided into smaller cubes of 1 unit edge each. Without any of the cubes being removed, a single straight cut is made through the cube. What is the maximum number of smaller cubes that can have paint on exactly one side now visble as a result of this cut?",4.0,0.9513755408446087,max_comparison,Spatial reasoning
43,"Fill in the blank: 1, 4, 9, 16, 25, __. Find the next number in the sequence.",36,0.9863728160831513,square_sequence,Sequence solving
44,"You are in a room with 4 doors, each facing the cardinal directions: North, East, South, and West. Each door leads to a room that looks identical to the first, with its own 4 doors also facing the cardinal directions. You start by facing North and walk into the North door. In the second room, you face East and walk through the East door. In the third room, you face South and walk through the South door. Finally, in the fourth room, you turn to face West and walk through the West door. In which direction are you facing now in the fifth room?",True,0.9603511992640006,room_navigation,Spatial reasoning
45,A man is found dead in a field holding a piece of straw. There's nothing else around him except for the straw and the clothes he has on. How did he die?,None,0.9765008913741593,graph_reasoning,Lateral thinking
46,"In a factory, there are three machines A, B, and C that are used to create widgets. Machine A creates a widget every 3 minutes, Machine B every 7 minutes, and Machine C every 11 minutes. If all machines are turned on at the same time, how many minutes will pass before all three machines dispense a widget at the same minute for the first time?",None,0.9624684430435764,graph_reasoning,Operation of mechanisms
47,"You are an engineer tasked with designing a gear system consisting of three gears that will fit in a sequential lineup within a machine. Each gear is required to have a unique number of teeth and must mesh with its neighboring gear(s). Gear A has 28 teeth and must connect with Gear B. Gear B must connect with both Gear A and Gear C. If the total number of teeth across all three gears shouldn't exceed 100 and the gears must have an integer number of teeth, what is the number of teeth on Gear B and Gear C?",128.0,0.9708027208471124,addition,Operation of mechanisms
48,"You have 12 boxes that look identical and contain identical items, but one box is filled with defective items weighing slightly less than the others. Your task is to determine which box contains the defective items. You have at your disposal a balance scale, which allows you to compare the weight of two sets of boxes against each other. You can only use the scale three times. How would you identify the box with defective items?",12.0,0.9718684111737311,min_comparison,Optimization of actions and planning
49,"Alice, Bob, and Charlie are trapped on an island with a bridge that can only hold two people at a time. They have one flashlight and, because it's nighttime, the flashlight must be used when crossing the bridge. Alice can cross the bridge in 1 minute, Bob in 2 minutes, and Charlie in 5 minutes. When two people cross together, they must move at the slower person's pace. What is the shortest time in which all three can get across the bridge?",True,0.957394178221021,graph_reasoning,Lateral thinking
50,"Alice, Bob, and Charlie are three engineers designing a cog-based mechanism for a clock. The mechanism includes three cogs that have to engage with each other without slipping. Cog A has 36 teeth, Cog B has 48 teeth, and Cog C has 60 teeth. If they design the mechanism for Cog A to make 10 full rotations, how many complete rotations will Cog C make in the same time, assuming there is no slippage and they rotate at a constant rate?",154.0,0.9887833851105823,addition,Operation of mechanisms
51,"I have keys but no locks. I have space but no room. You can enter, but you can't go outside. What am I?",keyboard,0.9810053129344446,keyboard_riddle,Classic riddles
52,"Alice, Bob, and Charlie are three friends who decide to paint a room together. They find that Alice can paint the room completely by herself in 5 hours, Bob can do it in 6 hours, and Charlie in 8 hours. They start painting together at the same pace they normally would by themselves, but after 2 hours, Charlie has to leave. How much time, in hours, will it take for Alice and Bob to finish painting the room after Charlie leaves?",None,0.9875799576625676,graph_reasoning,Optimization of actions and planning
53,"In a tiny village, the baker, the butcher, and the candlestick maker are the only three shops that deliver their goods. They use a shared delivery boy who can carry only one type of goods per trip. Every morning, each shop sends out one type of good: bread, meat, or candles. The delivery boy is paid per trip, so he wants to minimize the number of trips while still delivering every good once. Unfortunately, the baker and the butcher's goods spoil after 3 trips, while the candles are fine no matter how many trips are made. Given that he delivers goods in the pattern B-B-C-M (Baker, Butcher, Candlestick maker, then Meat from the Butcher again), how should he plan his delivery route to minimize his trips and not spoil any goods?",None,0.9857930940171059,graph_reasoning,Optimization of actions and planning
54,"Consider the following sequence: 2, 6, 12, 20, _. What number should replace the underscore to continue the sequence correctly?",None,0.9739159991524434,graph_reasoning,Sequence solving
55,"You are presented with three machines. Each machine has two input slots and one output slot. The first machine multiplies any two numbers put into its input slots. The second machine adds together any two numbers put into its input slots. The third machine applies a modulus operation of the first input number by the second input number. You have an initial set of cards with numbers [3, 7, 11], and you can use each card only once in any of the machines. Your task is to find a sequence of operations using the machines that will result in an output of 2.",23.0,0.9868749694009247,addition,Operation of mechanisms
