id,topic,question,answer,confidence,method,options_count
0,Spatial reasoning,"You have four rods of different lengths: 8 cm, 5 cm, 12 cm, and 3 cm. You must create a three-dimens...",3,0.9480000000000001,graph_reasoning,5
1,Lateral thinking,"A woman shoots her husband. Then she holds him underwater for five minutes. Finally, she hangs him. ...",photography,0.75,photography_lateral,5
2,Classic riddles,You are in a race and you overtake the second person. What position are you in now?,second,0.85,race_position,5
3,Operation of mechanisms,"In a factory, there are three machines A, B, and C. Machine A polishes items, Machine B engraves the...",True,0.9480000000000001,graph_reasoning,5
4,Operation of mechanisms,"You have three seemingly identical machines, each with a single button on top. One of the machines i...",True,0.9480000000000001,graph_reasoning,5
5,Sequence solving,You are presented with a sequence of numbers that represent the number of dots in a series of images...,None,0.17200000000000001,graph_reasoning,5
6,Optimization of actions and planning,"Alice is planning her work schedule for the week. She has 3 tasks to complete: Task A takes 4 hours,...",5.0,0.9,max_comparison,5
7,Spatial reasoning,You have a 10x10x10 cube made up of 1x1x1 smaller cubes. The large cube is painted red on all of the...,96,0.88,cube_edge_paint,5
8,Optimization of actions and planning,Four friends are planning to attend a series of events in a single day. They want to maximize the to...,-11,0.95,direct_arithmetic,5
9,Classic riddles,A wealthy book collector dies and leaves a will stating that his gold shall be shared among his thre...,False,0.95,even_check,5
10,Sequence solving,"You're shown a sequence of numbers that appear to be increasing unpredictably: 2, 5, 10, 17, 26. You...",True,0.95,even_check,5
11,Sequence solving,Imagine you encounter a bizarre sequence of numbers where each number depends on the one before it. ...,113,0.9600000000000001,graph_reasoning,5
12,Spatial reasoning,"In a room, there are 4 corner tables shaped as quarter-circles. Each table fits perfectly in each co...",16.0,0.9,square,5
13,Lateral thinking,Emma has been captured and she only has one chance to escape. The kidnapper tells her she can leave ...,None,0.17200000000000001,graph_reasoning,5
14,Spatial reasoning,Imagine a cube that is painted red on all its faces and is then cut into 27 identical smaller cubes....,True,0.9600000000000001,graph_reasoning,5
15,Operation of mechanisms,"A new clock has been designed to use a special mechanism where each of the three gears (A, B, and C)...",85.0,0.92,arithmetic_sequence,5
16,Classic riddles,You arrive at a fork in the road and find a pair of identical twin sisters standing there. One siste...,True,0.9600000000000001,graph_reasoning,5
17,Lateral thinking,"Alice, Bob, and Charlie are trapped in a room with two doors. One door leads to freedom, but the oth...",None,0.16000000000000003,graph_reasoning,5
18,Spatial reasoning,Four friends are at corners of a large square field and want to reach the exact center of the field ...,90.0,0.9,addition,5
19,Spatial reasoning,An ant is located at one corner of a 10 x 10 x 10 cube. It needs to crawl to the diagonally opposite...,True,0.9480000000000001,graph_reasoning,5
20,Spatial reasoning,"A builder has a set of 5 differently shaped blocks: a cube, a sphere, a pyramid, a cylinder, and a c...",None,0.148,graph_reasoning,5
21,Spatial reasoning,You have a 4x4x4 cube made up of 64 smaller 1x1x1 cubes. You paint the entire outer surface of the l...,0.0,0.9,min_comparison,5
22,Operation of mechanisms,"In a factory, there are three machines A, B, and C that are programmed to finish a task in exactly 1...",-1,0.9480000000000001,graph_reasoning,5
23,Sequence solving,"In a unique sequence, each number is the sum of the 3 previous numbers. The sequence starts with 2, ...",17,0.9600000000000001,graph_reasoning,5
24,Spatial reasoning,"In a cube-cutting challenge, you have a solid cube made of wood. In each move, you can make a straig...",None,0.16000000000000003,graph_reasoning,5
25,Logical traps,"In a special logic class, the teacher announces a surprise test will happen during the next week (Mo...",False,0.9720000000000001,graph_reasoning,5
26,Spatial reasoning,Imagine you have a solid wooden cube that measures 3 units on each side. This cube is painted blue o...,2,0.9600000000000001,graph_reasoning,5
27,Optimization of actions and planning,"You are planning a small party and you have three types of beverages to choose from: juice, soda, an...",292.3,0.9480000000000001,graph_reasoning,5
